index,pcm_t,pcm_h,SP4_t,SP4_h,SP6_t,SP6_h
7564,44.90944,6.488225,44.84406,5.299351,44.85148,5.518328
7565,44.88626,6.370538,44.82648,5.27448,44.83422,5.512166
7566,44.86316,6.254713,44.80782,5.248147,44.81699,5.504924
7567,44.84113,6.143832,44.78992,5.221977,44.80093,5.497658
7568,44.81848,6.034564,44.77222,5.194916,44.78384,5.490208
7569,44.79629,5.930944,44.75411,5.169376,44.76689,5.482224
7570,44.77498,5.828134,44.73612,5.141894,44.74975,5.473396
7571,44.75332,5.728544,44.71809,5.116196,44.73292,5.464355
7572,44.7305,5.63251,44.69994,5.08995,44.71466,5.455883
7573,44.70971,5.540044,44.6818,5.063175,44.6987,5.448076
7574,44.68876,5.449019,44.66463,5.036179,44.68175,5.439443
7575,44.66688,5.361016,44.64583,5.010578,44.66461,5.431158
7576,44.64612,5.275516,44.62812,4.983718,44.64726,5.421651
7577,44.62567,5.192261,44.60964,4.957302,44.63049,5.411162
7578,44.60376,5.111778,44.59112,4.929972,44.6138,5.401754
7579,44.5836,5.033478,44.57366,4.90461,44.5966,5.391598
7580,44.56344,4.957447,44.55568,4.87894,44.57906,5.380907
7581,44.54302,4.883742,44.53754,4.851276,44.56138,5.369459
7582,44.52127,4.81338,44.52024,4.824493,44.54461,5.358995
7583,44.50131,4.745274,44.5026,4.798031,44.52734,5.348088
7584,44.48116,4.67701,44.48367,4.772769,44.5107,5.33662
7585,44.46132,4.611582,44.46558,4.745762,44.49294,5.324144
7586,44.4418,4.549336,44.44744,4.720279,44.47562,5.310568
7587,44.42217,4.48782,44.42914,4.694066,44.45891,5.298756
7588,44.40209,4.428002,44.41203,4.668461,44.44127,5.285991
7589,44.38159,4.370598,44.39362,4.64283,44.4245,5.274122
7590,44.36344,4.315895,44.37606,4.617683,44.40746,5.261313
7591,44.34233,4.262588,44.3584,4.592808,44.38984,5.248071
7592,44.32328,4.209522,44.33959,4.568365,44.37144,5.234826
7593,44.30452,4.157656,44.3223,4.543156,44.35489,5.221918
7594,44.28428,4.108672,44.30473,4.519186,44.3371,5.2073
7595,44.26652,4.061426,44.28658,4.494672,44.32032,5.19328
7596,44.24694,4.015391,44.26739,4.469476,44.30243,5.177894
7597,44.22789,3.971101,44.24956,4.446262,44.28547,5.163428
7598,44.20933,3.926616,44.23297,4.422454,44.26742,5.147176
7599,44.19046,3.884941,44.21509,4.39835,44.25118,5.132833
7600,44.17164,3.843662,44.19667,4.374938,44.23311,5.118116
7601,44.15211,3.80289,44.17922,4.350908,44.21496,5.103375
7602,44.13467,3.766613,44.16092,4.328758,44.19774,5.08652
7603,44.11552,3.727788,44.14272,4.306808,44.18104,5.072374
7604,44.0969,3.692798,44.12544,4.283212,44.16282,5.05678
7605,44.07787,3.65672,44.10693,4.261658,44.14546,5.040604
7606,44.05953,3.622598,44.08936,4.238953,44.12817,5.023168
7607,44.0411,3.58834,44.07172,4.216238,44.11078,5.007414
7608,44.02248,3.557139,44.0537,4.195563,44.09271,4.99
7609,44.00452,3.5261,44.03609,4.174307,44.07539,4.97312
7610,43.9869,3.495767,44.0186,4.152954,44.0585,4.9579
7611,43.969,3.465175,44.00064,4.13244,44.04074,4.940017
7612,43.94953,3.437476,43.98294,4.111965,44.02328,4.922754
7613,43.93152,3.409768,43.96561,4.09185,44.00606,4.905156
7614,43.914,3.383062,43.94712,4.07161,43.98881,4.887832
7615,43.89587,3.356035,43.9308,4.050579,43.97074,4.871152
7616,43.87817,3.33147,43.91213,4.032295,43.95284,4.852726
7617,43.86026,3.30641,43.8953,4.0127,43.93616,4.834662
7618,43.8421,3.28218,43.87692,3.992239,43.91803,4.817276
7619,43.82406,3.25899,43.85976,3.973858,43.901,4.80083
7620,43.80624,3.236309,43.84184,3.954536,43.88268,4.782344
7621,43.7892,3.214988,43.82396,3.937082,43.865,4.76507
7622,43.77138,3.194706,43.80638,3.918418,43.84726,4.747116
7623,43.75428,3.172384,43.78898,3.900111,43.83105,4.728656
7624,43.73539,3.153055,43.77168,3.881891,43.81312,4.709082
7625,43.71832,3.133962,43.754,3.864118,43.79502,4.691289
7626,43.69904,3.114436,43.73622,3.84758,43.77785,4.673906
7627,43.68217,3.095555,43.71969,3.830378,43.75997,4.656756
7628,43.66515,3.078888,43.70134,3.813408,43.74212,4.63827
7629,43.64786,3.062531,43.68384,3.796835,43.7244,4.618672
7630,43.63064,3.043564,43.66626,3.778245,43.70666,4.601004
7631,43.61189,3.026896,43.64796,3.76349,43.68945,4.583646
7632,43.59576,3.011072,43.63136,3.747958,43.6711,4.56474
7633,43.57782,2.996348,43.61369,3.731424,43.65352,4.546738
7634,43.5605,2.981427,43.59592,3.716014,43.6365,4.527884
7635,43.54381,2.967112,43.579,3.701385,43.61888,4.510019
7636,43.5253,2.95266,43.56042,3.686396,43.60188,4.490892
7637,43.50889,2.939708,43.54422,3.671669,43.58371,4.473719
7638,43.49122,2.926432,43.5263,3.657312,43.56674,4.454642
7639,43.4736,2.913182,43.50906,3.64235,43.54878,4.435504
7640,43.45613,2.900798,43.49167,3.628735,43.53076,4.41843
7641,43.43892,2.888884,43.47431,3.614614,43.51313,4.401124
7642,43.42176,2.87608,43.4569,3.600296,43.49584,4.381504
7643,43.4044,2.865862,43.43936,3.587091,43.4777,4.362725
7644,43.38709,2.853404,43.42266,3.574147,43.46096,4.344344
7645,43.36946,2.841825,43.40512,3.562302,43.44371,4.326457
7646,43.35354,2.83209,43.38775,3.548232,43.42578,4.306578
7647,43.33534,2.822576,43.37036,3.534534,43.40816,4.288554
